name,description,stars,forks,language,keywords,platform,package_manager_url,homepage,repository_url,status,rank
TensorFI,A fault injection tool for TensorFlow-based program,22,16,Python,"fault, injection, learning, machine, tensorflow",Pypi,https://pypi.org/project/TensorFI/,https://github.com/DependableSystemsLab/TensorFI,https://github.com/DependableSystemsLab/TensorFI,,10
nengo-extras,Lesser used features for the Nengo neural simulator,5,7,Python,,Pypi,https://pypi.org/project/nengo-extras/,https://www.nengo.ai/nengo-extras,,,10
tsod,Time series anomaly detection.,102,9,Python,"outlier-detection, python, research, time-series",Pypi,https://pypi.org/project/tsod/,https://github.com/DHI/tsod,https://github.com/DHI/tsod,,10
tfencrypt,Layer on top of TensorFlow for doing machine learning on encrypted data.,1090,199,Python,"confidential-computing, cryptography, deep-learning, machine-learning, privacy, secure-computation, tensorflow",Pypi,https://pypi.org/project/tfencrypt/,https://github.com/mortendahl/tf-encrypted,https://github.com/mortendahl/tf-encrypted,,10
nonlincausality,Python package for Granger causality test with nonlinear (neural networks) forecasting methods.,29,9,Python,"Granger, causality, neural, networks, nonlinear, forecasting, signals, causality-analysis, causality-test, granger-causality, gru-neural-networks, lstm-neural-networks, multilayer-perceptron-network, neural-networks, nonlinear-causality, nonlinear-models, prediction, python, recurrent-neural-networks, time-series",Pypi,https://pypi.org/project/nonlincausality/,https://github.com/mrosol/Nonlincausality,https://github.com/mrosol/Nonlincausality,,10
textgen,Text Generation Model,184,34,Python,"textgen, text-generation, Text, Generation, Tool, ernie-gen, chinese, bart, bert, gpt2, seq2seq, t5, xlnet",Pypi,https://pypi.org/project/textgen/,https://github.com/shibing624/textgen,https://github.com/shibing624/textgen,,10
renn,Research tools for Reverse Engineering Neural Networks (RENN).,64,17,Jupyter Notebook,"deep-learning, interpretability, machine-learning",Pypi,https://pypi.org/project/renn/,https://github.com/google-research/reverse-engineering-neural-networks,https://github.com/google-research/reverse-engineering-neural-networks,,10
text-gen,build a text generation model,58,7,Jupyter Notebook,"python, tensorflow, text-analysis, text-generation, pytorch, lstm-neural-networks, text-gen",Pypi,https://pypi.org/project/text-gen/,https://github.com/Emekaborisama/textgen,https://github.com/Emekaborisama/textgen,,10
pypuf,Cryptanalysis of Physically Unclonable Functions,31,14,Python,"crps, cryptography, machine-learning, pufs, science, security, simulation, strong-pufs",Pypi,https://pypi.org/project/pypuf/,https://github.com/nils-wisiol/pypuf,https://github.com/nils-wisiol/pypuf,,10
tftables,Interface for reading HDF5 files into Tensorflow.,43,7,Python,"tensorflow, HDF5, pytables",Pypi,https://pypi.org/project/tftables/,https://github.com/ghcollin/tftables,https://github.com/ghcollin/tftables,,10
pyqsp,Generate phase angles for quantum signal processing algorithms,24,10,Python,,Pypi,https://pypi.org/project/pyqsp/,https://github.com/ichuang/pyqsp,https://github.com/ichuang/pyqsp,,10
libauc,LibAUC: A Deep Learning Library for X-Risk Optimization,183,27,TeX,"auprc, auroc, contrastive-learning, deep-learning, machine-learning, ndcg, optimization, pytorch, ranking-algorithm, self-supervised-learning",Pypi,https://pypi.org/project/libauc/,https://github.com/Optimization-AI/LibAUC,https://github.com/Optimization-AI/LibAUC,,10
hyperlib,Library that contains implementations of machine learning components in the hyperbolic space,87,10,Python,,Pypi,https://pypi.org/project/hyperlib/,https://github.com/nalexai/hyperlib,https://github.com/nalexai/hyperlib,,10
cerebro-dl,Resource-efficient Deep Learning Model Selection on Data Systems,19,11,Python,"deep-learning, hyperparameter-tuning, model-selection, resource-efficient",Pypi,https://pypi.org/project/cerebro-dl/,https://github.com/ADALabUCSD/cerebro-system,https://github.com/ADALabUCSD/cerebro-system,,10
easyQuake,"Simplified machine-learning driven earthquake detection, location, and analysis",40,17,Python,"earthquake, earthquake-detection, obspy, seismology, tensorflow",Pypi,https://pypi.org/project/easyQuake/,https://github.com/jakewalter/easyQuake,https://github.com/jakewalter/easyQuake,,10
fringe,Python implementation of computational optical propagation and digital holography.,7,0,Python,"diffraction, angular, spectrum, holography, holograms, phase, recovery, angular-spectrum, coherent-propagation, python",Pypi,https://pypi.org/project/fringe/,https://github.com/farhadnkm/fringe,https://github.com/farhadnkm/fringe,,10
prose,Reduction and analysis of FITS telescope observations,30,3,Python,"astronomy, astrophysics, data-reduction, ground-based, image-processing, observation, photometry, pipeline, python, reduction, telescope",Pypi,https://pypi.org/project/prose/,https://github.com/lgrcia/prose,https://github.com/lgrcia/prose,,10
sbnltk,Bangla NLP toolkit,10,1,Python,"bangla-ner, bangla-postag, bangla-stemmer, bangla-translator, bangla-word-embedding, bert",Pypi,https://pypi.org/project/sbnltk/,https://github.com/Foysal87/sbnltk,https://github.com/Foysal87/sbnltk,,10
nomeroff-net-test,Automatic numberplate recognition system,363,126,Python,"Nomeroff, Net, ai, Mask_RCNN, OCR, GRU, opensource, license, number, plate, recognition, licenseplate, numberplate, license-plate, number-plate, ria-com, RIA, com",Pypi,https://pypi.org/project/nomeroff-net-test/,https://github.com/ria-com/nomeroff-net,https://github.com/ria-com/nomeroff-net,,10
transly,"Pronunciation and Transliteration module trained on CMU pronouncing dictionary, IIT Bombay and IIT Kharagpur text corpora",79,49,Python,,Pypi,https://pypi.org/project/transly/,https://github.com/gitnik17/transly,https://github.com/gitnik17/transly,,10
redbrick-sdk,RedBrick platform Python SDK!,4,0,Python,,Pypi,https://pypi.org/project/redbrick-sdk/,https://github.com/redbrick-ai/redbrick-sdk,https://github.com/redbrick-ai/redbrick-sdk,,10
face-detection-tflite,A Python port of Google MediaPipe Face Detection modules,35,9,Python,"AI, face-detection, tensorflow, tflite, face-landmarks, iris-detection, face-mesh, machine-learning, tensorflow-lite, tensorflow-models",Pypi,https://pypi.org/project/face-detection-tflite/,https://github.com/patlevin/face-detection-tflite,https://github.com/patlevin/face-detection-tflite,,10
quartic-sdk,QuarticSDK is the SDK package which exposes the APIs to the user,0,1,Python,"Quartic, QuarticSDK, iiot, python, quartic-ai",Pypi,https://pypi.org/project/quartic-sdk/,https://github.com/Quarticai/QuarticSDK/,https://github.com/Quarticai/QuarticSDK,,10
datasetinsights,Synthetic dataset insights.,60,15,Python,"computer-vision, machine-learning, pytorch, synthetic-datasets, unity-simulation",Pypi,https://pypi.org/project/datasetinsights/,https://github.com/Unity-Technologies/datasetinsights,https://github.com/Unity-Technologies/datasetinsights,,10
ms2deepscore,Deep learning similarity measure for comparing MS/MS spectra.,27,14,Jupyter Notebook,,Pypi,https://pypi.org/project/ms2deepscore/,https://github.com/iomega/ms2deepscore,https://github.com/iomega/ms2deepscore,,10
mlops-tempo,Machine Learning Operations Toolkit,65,16,Python,"kubernetes, machine-learning, mlops, sklearn, xgboost",Pypi,https://pypi.org/project/mlops-tempo/,https://github.com/SeldonIO/tempo,https://github.com/SeldonIO/tempo,,10
astrodash,Deep Learning for Automated Spectral Classification of Supernovae,25,12,Python,"supernova, spectral, classification, deep, machine, learning, astronomy, astrophysics, cosmology, deep-learning, deep-neural-networks, machine-learning, pypi, spectra, supernovae, tensorflow, transients",Pypi,https://pypi.org/project/astrodash/,https://github.com/daniel-muthukrishna/DASH,https://github.com/daniel-muthukrishna/DASH,,10
awesome-panel,This package makes it super simple to do exploratory data analysis and develop high-quality Panel data apps ...,262,42,JavaScript,"python, holoviz, panel, dataviz, dataapp, dashboard, datascience, analytics, artificialintelligence, businessinte, dataapps, datavisualization, deeplearning, machinelearning",Pypi,https://pypi.org/project/awesome-panel/,https://awesome-panel.org,https://github.com/MarcSkovMadsen/awesome-panel,,10
sparseml-nightly,"Libraries for applying sparsification recipes to neural networks with a few lines of code, enabling faster and smaller models",1492,113,Python,"inference, machine, learning, neural, network, computer, vision, nlp, cv, deep, torch, pytorch, tensorflow, keras, sparsity, pruning, libraries, onnx, quantization, automl, computer-vision-algorithms, deep-learning-algorithms, deep-learning-library, deep-learning-models, image-classification, model-sparsification, object-detection, pruning-algorithms, recipe-driven-approaches, smaller-models, sparsification, sparsification-recipes",Pypi,https://pypi.org/project/sparseml-nightly/,https://github.com/neuralmagic/sparseml,https://github.com/neuralmagic/sparseml,,10
aletheia-relunet-unwrapper,Unwrapping ReLU Networks,52,15,,"deep-neural-networks, explainable-ai, local-interpretation, local-linear-models, self-explanatory-ml",Pypi,https://pypi.org/project/aletheia-relunet-unwrapper/,https://github.com/SelfExplainML/Aletheia,https://github.com/SelfExplainML/Aletheia,,10
mmsplice,Predict splicing variant effect from VCF,26,16,Jupyter Notebook,"mmsplice, machine-learning, splicing, variant-effect-prediction, vep-plugin",Pypi,https://pypi.org/project/mmsplice/,https://github.com/gagneurlab/mmsplice,https://github.com/gagneurlab/mmsplice,,10
moodlemlbackend,Python machine learning backend used by mlbackend_python Moodle plugin,13,16,Python,"moodle, machine, learning, numpy, scikit-learn, tensorflow",Pypi,https://pypi.org/project/moodlemlbackend/,https://github.com/moodlehq/moodle-mlbackend-python,https://github.com/moodlehq/moodle-mlbackend-python,,10
margarine,margarine: Posterior Sampling and Marginal Bayesian Statistics,4,3,Jupyter Notebook,,Pypi,https://pypi.org/project/margarine/,https://github.com/htjb/margarine,https://github.com/htjb/margarine,,10
sleap,SLEAP (Social LEAP Estimates Animal Poses) is a deep learning framework for animal pose tracking.,261,56,Python,"deep, learning, pose, estimation, tracking, neuroscience, animal-pose-estimation, animal-tracking, behavior-analysis, deep-learning, leap, pose-estimation, sleap",Pypi,https://pypi.org/project/sleap/,https://sleap.ai,https://github.com/talmolab/sleap,,10
deepcut,A Thai word tokenization library using Deep Neural Network,313,86,Python,"thai, word, segmentation, deep, learning, neural, network, development, deep-learning, deep-neural-networks, keras, keras-tensorflow, python, tensorflow",Pypi,https://pypi.org/project/deepcut/,https://github.com/rkcosmos/deepcut,https://github.com/rkcosmos/deepcut,,10
iracema,Audio Content Analysis for Research on Musical Expressiveness and Individuality,13,5,Python,,Pypi,https://pypi.org/project/iracema/,http://github.com/cegeme/iracema,https://github.com/cegeme/iracema,,10
stellargraph,Python library for machine learning on graphs,2369,362,Python,"data-science, deep-learning, gcn, geometric-deep-learning, graph-analysis, graph-convolutional-networks, graph-data, graph-machine-learning, graph-neural-networks, graphs, heterogeneous-networks, interpretability, link-prediction, machine-learning, machine-learning-algorithms, networkx, python, saliency-map, stellargraph-library",Pypi,https://pypi.org/project/stellargraph/,https://github.com/stellargraph/stellargraph,https://github.com/stellargraph/stellargraph,,10
NiMARE,NiMARE: Neuroimaging Meta-Analysis Research Environment,132,47,Python,"meta-analysis, neuroimaging, python",Pypi,https://pypi.org/project/NiMARE/,https://github.com/neurostuff/NiMARE,https://github.com/neurostuff/NiMARE,,10
convert-labse-tf-pt,Convert LaBSE model from TensorFlow to PyTorch.,7,0,Python,"transformers, bert, labse, pytorch, tensorflow, embeddings, google-ai, model",Pypi,https://pypi.org/project/convert-labse-tf-pt/,https://github.com/setu4993/convert-labse-tf-pt,https://github.com/setu4993/convert-labse-tf-pt,,10
ktext,Pre-processing text in parallel for Keras in python.,181,29,Jupyter Notebook,"deep-learning, keras, machine-learning, ml-infrastructure, nlp-machine-learning, python-3",Pypi,https://pypi.org/project/ktext/,https://github.com/hamelsmu/ktext,https://github.com/hamelsmu/ktext,,10
tensorflow-data-validation,A library for exploring and validating machine learning data.,0,0,,"tensorflow, data, validation, tfx",Pypi,https://pypi.org/project/tensorflow-data-validation/,https://www.tensorflow.org/tfx/data_validation/get_started,,,10
bilm,Tensorflow implementation of contextualized word representations from bi-directional language models,1607,452,Python,"bilm, elmo, nlp, embedding",Pypi,https://pypi.org/project/bilm/,http://github.com/allenai/bilm-tf,https://github.com/allenai/bilm-tf,,10
solaris,CosmiQ Works Geospatial Machine Learning Analysis Toolkit,282,77,Python,"computervision, deeplearning, geo, geospatial, gis, machinelearning, python",Pypi,https://pypi.org/project/solaris/,https://github.com/CosmiQ/solaris,https://github.com/CosmiQ/solaris,,10
zookeeper,"A small library for managing deep learning models, hyper-parameters and datasets",23,10,Python,"command-line-interface, deep-learning, hyperparameter, keras, machine-learning, python, tensorflow, tensorflow-datasets",Pypi,https://pypi.org/project/zookeeper/,https://github.com/larq/zookeeper,https://github.com/larq/zookeeper,,10
modnet,"MODNet, the Material Optimal Descriptor Network for materials properties prediction.",44,23,Jupyter Notebook,"machine-learning, materials-science",Pypi,https://pypi.org/project/modnet/,https://github.com/ppdebreuck/modnet,https://github.com/ppdebreuck/modnet,,10
recsim-ng,RecSim NG: Toward Principled Uncertainty Modeling for Recommender Ecosystems,93,17,Jupyter Notebook,"recsim, reinforcement-learning, recommender-system, simulation, probabilistic-programming, artificial-intelligence, google, tensorflow",Pypi,https://pypi.org/project/recsim-ng/,https://github.com/google-research/recsim_ng,https://github.com/google-research/recsim_ng,,10
ciphey,Automated Decryption Tool,11444,736,Python,"artificial-intelligence, cipher, cpp, cryptography, ctf, ctf-tools, cyberchef-magic, decryption, deep-neural-network, encodings, encryptions, hacking, hacktoberfest, hashes, natural-language-processing, pentesting, python",Pypi,https://pypi.org/project/ciphey/,,,,10
maru,Morphological Analyzer for Russian 💬,37,5,Python,"python, nlp, natural-language-processing, neural-network, russian, morphological-analysis, morphological-analyser",Pypi,https://pypi.org/project/maru/,https://github.com/chomechome/maru,https://github.com/chomechome/maru,,10
miscnn-TF-2.0,Framework for Medical Image Segmentation with Convolutional Neural Networks and Deep Learning,334,110,Python,"clinical-decision-support, computer-vision, convolutional-neural-networks, deep-learning, framework, healthcare-imaging, medical-image-analysis, medical-image-processing, medical-image-segmentation, medical-imaging, neural-network, pip, segmentation, tensorflow",Pypi,https://pypi.org/project/miscnn-TF-2.0/,https://github.com/frankkramer-lab/MIScnn,https://github.com/frankkramer-lab/MIScnn,,10
automl-alex,State-of-the art Automated Machine Learning python library for Tabular Data,138,13,Python,"machine, learning, data, science, automated, automl, hyperparameter, optimization, artificial, intelligence, ensembling, stacking, blending, deep, tensorflow, deeplearning, lightgbm, gradient, boosting, gbm, keras, python, data-science, machine-learning, sklearn, cross-validation, ml, model-selection, xgboost, hyperparameter-optimization, machine-learning-library, hyperparameter-tuning, optimisation, auto-ml, machine-learning-models, automatic-machine-learning, data-science-projects, stacking-ensemble",Pypi,https://pypi.org/project/automl-alex/,,https://github.com/Alex-Lekov/AutoML_Alex,,10
ntap,NTAP - CSSL,5,1,Python,,Pypi,https://pypi.org/project/ntap/,https://github.com/USC-CSSL/NTAP,https://github.com/USC-CSSL/NTAP,,10
mathy,Mathy - RL environments for solving math problems step-by-step,0,0,TypeScript,math,Pypi,https://pypi.org/project/mathy/,https://mathy.ai,,,10
ebonite,Machine Learning Lifecycle Framework,194,9,Python,"ai, ebonite, machine-learning, python",Pypi,https://pypi.org/project/ebonite/,https://github.com/zyfra/ebonite,https://github.com/zyfra/ebonite,,10
scCODA,A Dirichlet-Multinomial approach to identify compositional changes in count data.,103,16,Jupyter Notebook,"RNA, single, cell, composition, CODA, compositional, analysis, compositional-changes, single-cell-rna-seq, statistical-analysis, tensorflow",Pypi,https://pypi.org/project/scCODA/,https://github.com/theislab/scCODA,https://github.com/theislab/scCODA,,10
zoobot,Galaxy morphology classifiers,38,17,Jupyter Notebook,,Pypi,https://pypi.org/project/zoobot/,https://github.com/mwalmsley/zoobot,https://github.com/mwalmsley/zoobot,,10
mr-uplift,Machine learning tools for uplift models,35,3,Python,,Pypi,https://pypi.org/project/mr-uplift/,,https://github.com/Ibotta/mr_uplift,,10
vectorhub-nightly,"One liner to encode data into vectors with state-of-the-art models using tensorflow, pytorch and other open source libraries. Word2Vec, Image2Vec, BERT, etc",462,51,Python,"vector, embeddings, machinelearning, ai, artificialintelligence, nlp, tensorflow, pytorch, nearestneighbors, search, analytics, clustering, dimensionalityreduction, artificial-intelligence, audio-processing, deep-learning, deeplearning, encodings, image2vec, machine-learning, neural-network, python, tfhub, transformers, vector-similarity, video-processing, word2vec",Pypi,https://pypi.org/project/vectorhub-nightly/,https://github.com/vector-ai/vectorhub,https://github.com/vector-ai/vectorhub,,10
tfcausalimpact,Python version of Google's Causal Impact model on top of Tensorflow Probability.,383,53,Python,"causal, impact, causal-inference, causalimpact, python, tensorflow-probability",Pypi,https://pypi.org/project/tfcausalimpact/,https://github.com/WillianFuks/tfcausalimpact,https://github.com/WillianFuks/tfcausalimpact,,10
mlmodels,"Generic model API, Model Zoo in Tensorflow, Keras, Pytorch, Hyperparamter search",144,155,Jupyter Notebook,"Machine, Learning, Interface, library, automl, computer-vision, deep-learning, gluon, gluonnlp, hyperparameter-optimization, keras, machine-learning, mlflow, mlmodels, model-zoo, nlp, nlu, optuna, python, pytorch, sklearn, tensorflow, textcnn, torchhub",Pypi,https://pypi.org/project/mlmodels/,https://github.com/arita37/mlmodels,https://github.com/arita37/mlmodels,,10
picasso-viz,A CNN model visualizer,864,107,Python,"picasso, convolutional-neural-networks, keras, tensorflow, visualization",Pypi,https://pypi.org/project/picasso-viz/,https://github.com/merantix/picasso,https://github.com/merantix/picasso,,10
Chronix2Grid,"A python package to generate ""en-masse"" chronics for loads and productions (thermal, renewable)",7,4,Python,"ML, powergrid, optmization, RL, power-systems, chronics, generation, production, load, network, grid, kpi",Pypi,https://pypi.org/project/Chronix2Grid/,https://github.com/BDonnot/ChroniX2Grid,https://github.com/BDonnot/ChroniX2Grid,,10
medicalai,Medical-AI is a AI framework specifically for Medical Applications,12,9,Python,"AI, Framework, Medical, Tensorflow, radiology, ai-framework, keras, medical-applications, medical-imaging, pdf-report, prediction, tensorflow2",Pypi,https://pypi.org/project/medicalai/,https://github.com/aibharata/medicalAI,https://github.com/aibharata/medicalAI,,10
boxsers,"Python package that provides a full range of functionality to process and analyze vibrational spectra (Raman, SERS, FTIR, etc.).",22,5,Jupyter Notebook,"baseline-correction, chemometrics, cnn-keras, data-augmentation, deep-learning, machine-learning, pca-analysis, preprocessing, python, raman-spectroscopy, sers, unsupervised-learning, vibrational-spectroscopy",Pypi,https://pypi.org/project/boxsers/,https://github.com/ALebrun-108/BoxSERS,https://github.com/ALebrun-108/BoxSERS,,10
ktext,Pre-processing text in parallel for Keras in python.,181,29,Jupyter Notebook,"deep-learning, keras, machine-learning, ml-infrastructure, nlp-machine-learning, python-3",Pypi,https://pypi.org/project/ktext/,https://github.com/hamelsmu/ktext,https://github.com/hamelsmu/ktext,,10
tensorflow-data-validation,A library for exploring and validating machine learning data.,0,0,,"tensorflow, data, validation, tfx",Pypi,https://pypi.org/project/tensorflow-data-validation/,https://www.tensorflow.org/tfx/data_validation/get_started,,,10
tiledb-ml,Package supports all machine learning functionality for TileDB Embedded and TileDB Cloud,17,4,Python,"tiledb, ml",Pypi,https://pypi.org/project/tiledb-ml/,https://github.com/TileDB-Inc/TileDB-ML,https://github.com/TileDB-Inc/TileDB-ML,,10
bilm,Tensorflow implementation of contextualized word representations from bi-directional language models,1607,452,Python,"bilm, elmo, nlp, embedding",Pypi,https://pypi.org/project/bilm/,http://github.com/allenai/bilm-tf,https://github.com/allenai/bilm-tf,,10
MDSuite,A postprocessing tool for molecular dynamics simulations.,19,3,Python,"hdf5, molecular-dynamics, particle-simulation, python, tensorflow",Pypi,https://pypi.org/project/MDSuite/,https://github.com/zincware/MDSuite,https://github.com/zincware/MDSuite,,10
bert-multitask-learning,BERT for Multi-task Learning,369,104,Jupyter Notebook,"bert, cws, encoder-decoder, multi-task-learning, multitask-learning, named-entity-recognition, ner, nlp, part-of-speech, pretrained-models, text-classification, transformer, word-segmentation",Pypi,https://pypi.org/project/bert-multitask-learning/,https://github.com/JayYip/bert-multitask-learning,https://github.com/JayYip/bert-multitask-learning,,10
neural-mmo,Neural MMO is a massively multiagent environment for artificial intelligence research inspired by Massively Multiplayer Online (MMO) role-playing games,334,52,Python,"Neural, MMO",Pypi,https://pypi.org/project/neural-mmo/,https://github.com/jsuarez5341/neural-mmo,https://github.com/jsuarez5341/neural-mmo,,10
tbase,基于强化学习的交易算法Baselines,10,7,Python,"docker, reinforcement-learning, stock, ddpg, a2c, td3, tbase",Pypi,https://pypi.org/project/tbase/,https://github.com/tradingAI/tbase,https://github.com/tradingAI/tbase,,10
nonlincausality,Python package for Granger causality test with nonlinear (neural networks) forecasting methods.,29,9,Python,"Granger, causality, neural, networks, nonlinear, forecasting, signals, causality-analysis, causality-test, granger-causality, gru-neural-networks, lstm-neural-networks, multilayer-perceptron-network, neural-networks, nonlinear-causality, nonlinear-models, prediction, python, recurrent-neural-networks, time-series",Pypi,https://pypi.org/project/nonlincausality/,https://github.com/mrosol/Nonlincausality,https://github.com/mrosol/Nonlincausality,,10
zookeeper,"A small library for managing deep learning models, hyper-parameters and datasets",23,10,Python,"command-line-interface, deep-learning, hyperparameter, keras, machine-learning, python, tensorflow, tensorflow-datasets",Pypi,https://pypi.org/project/zookeeper/,https://github.com/larq/zookeeper,https://github.com/larq/zookeeper,,10
csrank,Context-sensitive ranking,57,15,Python,"machine-learning, deep-learning, tensorflow, pytorch, ranking, neural-networks, learning-to-rank, context-aware, choice-model, discrete-choice, object-ranking",Pypi,https://pypi.org/project/csrank/,https://github.com/kiudee/cs-ranking,https://github.com/kiudee/cs-ranking,,10
augmix-tf,An implementation of novel data augmentation AugMix (2020) in TensorFlow. It runs on TPU.,13,1,Python,"data-augmentation, augmix",Pypi,https://pypi.org/project/augmix-tf/,https://github.com/szacho/augmix-tf,https://github.com/szacho/augmix-tf,,10
abmarl,Agent Based Simulation and MultiAgent Reinforcement Learning,28,11,Python,machine-learning,Pypi,https://pypi.org/project/abmarl/,https://github.com/llnl/abmarl,https://github.com/llnl/abmarl,,10
maru,Morphological Analyzer for Russian 💬,37,5,Python,"python, nlp, natural-language-processing, neural-network, russian, morphological-analysis, morphological-analyser",Pypi,https://pypi.org/project/maru/,https://github.com/chomechome/maru,https://github.com/chomechome/maru,,10
wormpose,WormPose: Image synthesis and convolutional networks for pose estimation in C. elegans,25,10,Python,"animal, pose, estimation, c, elegans, animal-pose-estimation, behavior-analysis, c-elegans, computer-vision, deep-learning, machine-learning, neural-network, pose-estimation, python, synthetic-dataset-generation, synthetic-images, tensorflow, tensorflow2, tierpsy, worm, wormpose",Pypi,https://pypi.org/project/wormpose/,https://iteal.github.io/wormpose/,https://github.com/iteal/wormpose,,10
gravityspy,This repo contains code for the GravitySpy Citizen Science project. ,5,15,Python,,Pypi,https://pypi.org/project/gravityspy/,https://github.com/Gravity-Spy/GravitySpy.git,https://github.com/Gravity-Spy/GravitySpy,,10
grid-royale,GridRoyale - A life simulation for exploring social dynamics,254,27,Python,"ai, hacktoberfest, keras, machine-learning, python, q-learning, reinforcement-learning, tensorflow",Pypi,https://pypi.org/project/grid-royale/,https://github.com/cool-RR/grid_royale,https://github.com/cool-RR/grid_royale,,10
summit,Tools for optimizing chemical processes,82,16,Jupyter Notebook,"machine-learning, chemistry, bayesian-reaction-optimization, reaction-optimization, neural-networks, process, optimization, bayesian-optimization, nelder-mead, snobfit, gryffin, TSEMO, drug-discovery, self-optimization",Pypi,https://pypi.org/project/summit/,https://github.com/sustainable-processes/summit,https://github.com/sustainable-processes/summit,,10
bicleaner-ai,"Parallel corpus classifier, indicating the likelihood of a pair of sentences being mutual translations or not (neural version)",16,4,Python,,Pypi,https://pypi.org/project/bicleaner-ai/,https://github.com/bitextor/bicleaner-ai,https://github.com/bitextor/bicleaner-ai,,10
hearbaseline,Holistic Evaluation of Audio Representations (HEAR) 2021 -- Baseline Model,16,6,Python,,Pypi,https://pypi.org/project/hearbaseline/,https://github.com/hearbenchmark/hear-baseline,https://github.com/hearbenchmark/hear-baseline,,10
keras-efficientnet-v2,(Unofficial) Tensorflow keras efficientnet v2 with pre-trained,47,11,Python,"tensorflow, keras, efficientnet, v2, pretrained, models, efficientnetv2, progressive-train, tensorflow2, tf, tf2",Pypi,https://pypi.org/project/keras-efficientnet-v2/,https://github.com/leondgarse/keras_efficientnet_v2,https://github.com/leondgarse/keras_efficientnet_v2,,10
wax-ml,A Python library for machine-learning and feedback loops on streaming data,37,5,Python,"time, series, machine, learning, optimization, optimal, control, online, reinforcement, data-streaming, jax, machine-learning, pandas, python, reinforcement-learning, time-series, xarray",Pypi,https://pypi.org/project/wax-ml/,https://github.com/eserie/wax-ml,https://github.com/eserie/wax-ml,,10
solaris,CosmiQ Works Geospatial Machine Learning Analysis Toolkit,282,77,Python,"computervision, deeplearning, geo, geospatial, gis, machinelearning, python",Pypi,https://pypi.org/project/solaris/,https://github.com/CosmiQ/solaris,https://github.com/CosmiQ/solaris,,10
tensorflow-coder-colab-logging,Logging utilities for TensorFlow Coder's Colab interface,227,27,Python,"tensorflow, coder, tf-coder",Pypi,https://pypi.org/project/tensorflow-coder-colab-logging/,https://github.com/google-research/tensorflow-coder,https://github.com/google-research/tensorflow-coder,,10
hyperlib,Library that contains implementations of machine learning components in the hyperbolic space,87,10,Python,,Pypi,https://pypi.org/project/hyperlib/,https://github.com/nalexai/hyperlib,https://github.com/nalexai/hyperlib,,10
tfq-nightly,TensorFlow Quantum is a library for hybrid quantum-classical machine learning.,1518,461,Python,"tensorflow, machine, learning, quantum, qml",Pypi,https://pypi.org/project/tfq-nightly/,https://github.com/tensorflow/quantum/,https://github.com/tensorflow/quantum,,10
m3-dl,this is a description,6,1,Python,"best, practice, for, python, project",Pypi,https://pypi.org/project/m3-dl/,https://github.com/zk4/m3u8_dl,https://github.com/zk4/m3u8_dl,,10
maggy,Distribution transparent Machine Learning experiments on Apache Spark,85,14,Python,"Hyperparameter, Optimization, Distributed, Training, Keras, PyTorch, TensorFlow, Spark, ablation, ablation-studies, ablation-study, automl, blackbox-optimization, hyperparameter-optimization, hyperparameter-search, hyperparameter-tuning",Pypi,https://pypi.org/project/maggy/,https://github.com/logicalclocks/maggy,https://github.com/logicalclocks/maggy,,10
utensor-cgen,C code generation program for uTensor,35,30,Python,"deep-learning, edge-computing, embedded, iot, microcontroller, python, utensor",Pypi,https://pypi.org/project/utensor-cgen/,https://github.com/uTensor/utensor_cgen,https://github.com/uTensor/utensor_cgen,,10
tensorflow-coder,TensorFlow Coder (TF-Coder): A Program Synthesis Tool for TensorFlow,227,27,Python,"tensorflow, coder, tf-coder, program, synthesis, tensor, manipulation, programming, by, example",Pypi,https://pypi.org/project/tensorflow-coder/,https://github.com/google-research/tensorflow-coder,https://github.com/google-research/tensorflow-coder,,10
elasticdl,A Kubernetes-native Deep Learning Framework,682,115,Python,"deep-learning, distributed-systems, kubernetes, tensorflow",Pypi,https://pypi.org/project/elasticdl/,https://elasticdl.org,https://github.com/wangkuiyi/elasticdl,,10
cfl,"Causal Feature Learning (CFL) is an unsupervised algorithm designed to construct macro-variables from low-level data, while maintaining the causal relationships between these macro-variables.",4,0,Jupyter Notebook,,Pypi,https://pypi.org/project/cfl/,https://github.com/eberharf/cfl,https://github.com/eberharf/cfl,,10
nlp-service,Microservice for NLP tasks using gRPC,2,1,Python,nlp,Pypi,https://pypi.org/project/nlp-service/,http://recap.uni-trier.de,https://github.com/recap-utr/nlp-service,,10
tfcoreml,TensorFlow to Core ML converter,1281,176,Python,"Converter, TensorFlow, Core, ML",Pypi,https://pypi.org/project/tfcoreml/,https://github.com/tf-coreml/tf-coreml,https://github.com/tf-coreml/tf-coreml,,10
stonesoup,A tracking and state estimation framework,234,84,Python,,Pypi,https://pypi.org/project/stonesoup/,https://github.com/dstl/Stone-Soup,https://github.com/dstl/Stone-Soup,,10
deepracer-utils,A set of tools for working with DeepRacer training,11,13,Python,"aws, deepracer, awsdeepracer",Pypi,https://pypi.org/project/deepracer-utils/,https://github.com/aws-deepracer-community/deepracer-utils/,https://github.com/aws-deepracer-community/deepracer-utils,,10
smartsim,AI Workflows for Science,127,22,Python,"scientific, ai, workflow, hpc, analysis, machine-learning, simulation",Pypi,https://pypi.org/project/smartsim/,https://github.com/CrayLabs/SmartSim,https://github.com/CrayLabs/SmartSim,,10
